indicator,type,source,first_seen,last_seen
-.docx,domain,urlhaus_recent,2025-09-02T17:44:15+01:00,2025-09-02T18:48:04+01:00
-pricelist.doc.vbs,domain,urlhaus_recent,2025-09-02T17:44:15+01:00,2025-09-02T18:48:04+01:00
01.txt,domain,urlhaus_recent,2025-09-02T17:44:15+01:00,2025-09-02T18:48:04+01:00
02.08.2022.exe,domain,urlhaus_recent,2025-09-02T17:44:15+01:00,2025-09-02T18:48:04+01:00
02.txt,domain,urlhaus_recent,2025-09-02T17:44:15+01:00,2025-09-02T18:48:04+01:00
03.txt,domain,urlhaus_recent,2025-09-02T17:44:15+01:00,2025-09-02T18:48:04+01:00
03.txtx,domain,urlhaus_recent,2025-09-02T17:44:15+01:00,2025-09-02T18:48:04+01:00
0553146fab28aaf84c01fb0559b35e95.exe,domain,urlhaus_recent,2025-09-02T17:44:15+01:00,2025-09-02T18:48:04+01:00
05rjuxlo2f.flac,domain,urlhaus_recent,2025-09-02T17:44:15+01:00,2025-09-02T18:48:04+01:00
07.py,domain,urlhaus_recent,2025-09-02T17:44:15+01:00,2025-09-02T18:48:04+01:00
0805muka.zip,domain,urlhaus_recent,2025-09-02T17:44:15+01:00,2025-09-02T18:48:04+01:00
0805star.bat,domain,urlhaus_recent,2025-09-02T17:44:15+01:00,2025-09-02T18:48:04+01:00
0805suka.zip,domain,urlhaus_recent,2025-09-02T17:44:15+01:00,2025-09-02T18:48:04+01:00
0811mainq.zip,domain,urlhaus_recent,2025-09-02T17:44:15+01:00,2025-09-02T18:48:04+01:00
0811mainrq.zip,domain,urlhaus_recent,2025-09-02T17:44:15+01:00,2025-09-02T18:48:04+01:00
0811phmainq.zip,domain,urlhaus_recent,2025-09-02T17:44:15+01:00,2025-09-02T18:48:04+01:00
0811phstarq.zip,domain,urlhaus_recent,2025-09-02T17:44:15+01:00,2025-09-02T18:48:04+01:00
0811starq.bat,domain,urlhaus_recent,2025-09-02T17:44:15+01:00,2025-09-02T18:48:04+01:00
0811starq.zip,domain,urlhaus_recent,2025-09-02T17:44:15+01:00,2025-09-02T18:48:04+01:00
0811starqq.bat,domain,urlhaus_recent,2025-09-02T17:44:15+01:00,2025-09-02T18:48:04+01:00
0811starqq.zip,domain,urlhaus_recent,2025-09-02T17:44:15+01:00,2025-09-02T18:48:04+01:00
09.py,domain,urlhaus_recent,2025-09-02T17:44:15+01:00,2025-09-02T18:48:04+01:00
09cjp5ya4tywyyr.exe,domain,urlhaus_recent,2025-09-02T17:44:15+01:00,2025-09-02T18:48:04+01:00
0b9mnk.dll,domain,urlhaus_recent,2025-09-02T17:44:15+01:00,2025-09-02T18:48:04+01:00
