indicator,type,source,first_seen,last_seen
0a0csm4ju2.pdf,domain,urlhaus_recent,2025-09-06T16:07:46+01:00,2025-09-06T16:07:46+01:00
18.exe,domain,urlhaus_recent,2025-09-06T16:07:46+01:00,2025-09-06T16:07:46+01:00
18gbkei5m4.pdf,domain,urlhaus_recent,2025-09-06T16:07:46+01:00,2025-09-06T16:07:46+01:00
1septiembre.vbs,domain,urlhaus_recent,2025-09-06T16:07:46+01:00,2025-09-06T16:07:46+01:00
1w8vnd71eo.pdf,domain,urlhaus_recent,2025-09-06T16:07:46+01:00,2025-09-06T16:07:46+01:00
1yicmo1.exe,domain,urlhaus_recent,2025-09-06T16:07:46+01:00,2025-09-06T16:07:46+01:00
2hgsxswl6e.pdf,domain,urlhaus_recent,2025-09-06T16:07:46+01:00,2025-09-06T16:07:46+01:00
2septiembre.vbs,domain,urlhaus_recent,2025-09-06T16:07:46+01:00,2025-09-06T16:07:46+01:00
2sz8qgbmrq.pdf,domain,urlhaus_recent,2025-09-06T16:07:46+01:00,2025-09-06T16:07:46+01:00
2zh2nflu8p.pdf,domain,urlhaus_recent,2025-09-06T16:07:46+01:00,2025-09-06T16:07:46+01:00
3.sh,domain,urlhaus_recent,2025-09-06T16:07:46+01:00,2025-09-06T16:07:46+01:00
31agosto.vbs,domain,urlhaus_recent,2025-09-06T16:07:46+01:00,2025-09-06T16:07:46+01:00
3h70s8vl8o.pdf,domain,urlhaus_recent,2025-09-06T16:07:46+01:00,2025-09-06T16:07:46+01:00
5a76cnbpel.pdf,domain,urlhaus_recent,2025-09-06T16:07:46+01:00,2025-09-06T16:07:46+01:00
5fh2dxl6ey.pdf,domain,urlhaus_recent,2025-09-06T16:07:46+01:00,2025-09-06T16:07:46+01:00
66n7sdf6f1.pdf,domain,urlhaus_recent,2025-09-06T16:07:46+01:00,2025-09-06T16:07:46+01:00
77yfmbkshq.pdf,domain,urlhaus_recent,2025-09-06T16:07:46+01:00,2025-09-06T16:07:46+01:00
7ykknjnzxj.pdf,domain,urlhaus_recent,2025-09-06T16:07:46+01:00,2025-09-06T16:07:46+01:00
84peyck3iv.pdf,domain,urlhaus_recent,2025-09-06T16:07:46+01:00,2025-09-06T16:07:46+01:00
9jk.js,domain,urlhaus_recent,2025-09-06T16:07:46+01:00,2025-09-06T16:07:46+01:00
9mapn2rrqt.pdf,domain,urlhaus_recent,2025-09-06T16:07:46+01:00,2025-09-06T16:07:46+01:00
9vaz47beuw.pdf,domain,urlhaus_recent,2025-09-06T16:07:46+01:00,2025-09-06T16:07:46+01:00
abba.arm,domain,urlhaus_recent,2025-09-06T16:07:46+01:00,2025-09-06T16:07:46+01:00
abba.mips,domain,urlhaus_recent,2025-09-06T16:07:46+01:00,2025-09-06T16:07:46+01:00
abba.mipsel,domain,urlhaus_recent,2025-09-06T16:07:46+01:00,2025-09-06T16:07:46+01:00
abba.mpsl,domain,urlhaus_recent,2025-09-06T16:07:46+01:00,2025-09-06T16:07:46+01:00
abba.ppc,domain,urlhaus_recent,2025-09-06T16:07:46+01:00,2025-09-06T16:07:46+01:00
abba.spc,domain,urlhaus_recent,2025-09-06T16:07:46+01:00,2025-09-06T16:07:46+01:00
acc.o365drive-support.com,domain,urlhaus_recent,2025-09-06T16:07:46+01:00,2025-09-06T16:07:46+01:00
accessdennied.uk,domain,urlhaus_recent,2025-09-06T16:07:46+01:00,2025-09-06T16:07:46+01:00
