indicator,type,source,first_seen,last_seen
0ef2otwrtg.pdf,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
0qvgqxvdj0get5v.exe,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
134cuhl.exe,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
17tpul0m07.pdf,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
1b8nzcbfnh.pdf,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
1j1k6tnb3y.pdf,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
1jinmx0c4v.pdf,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
1moknpeigb.pdf,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
20corporation.pdf,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
20de-o09989a1.lnk,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
23ukfmj1ad.pdf,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
2g4tsl1h8y.pdf,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
2yp0njmuoy.pdf,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
31nijlrb87.pdf,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
3arz7m7r6s.pdf,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
3bsdiv9s66.pdf,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
41rb51uyho.pdf,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
4ak7onss4m.pdf,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
5g60dz8ev8.pdf,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
5py1p8i1ih.pdf,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
5vgtyy30ec.pdf,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
5xuzykc.exe,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
625fb3zvjx.pdf,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
62pj1gc80m.pdf,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
6326h6nn52.pdf,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
63m40mjq83.pdf,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
647r5aihbk.pdf,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
6k200d18q1.pdf,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
6x9uowvyyx.pdf,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
86nuv0etxr.pdf,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
95084q5z2u.pdf,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
9ck7yuhq7p.pdf,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
a1kvpvsvpa.pdf,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
adapadske.org,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
arb.bat,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
b0syqpo.exe,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
ban.tar,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
bijgoad1qo.pdf,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
bill.bat,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
bill.wsf,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
bindpagos.org,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
britney-dollar-brass-mat.trycloudflare.com,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
c3xuq8oftj.pdf,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
c43badrvhk.pdf,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
chinga.arc,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
chinga.arm,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
chinga.mips,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
chinga.mpsl,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
chinga.ppc,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
chinga.spc,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
csv3763dau.pdf,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
dicc3exag9.pdf,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
discord.bin,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
dk.fokymeu.ru,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
dlthqtzjo4.pdf,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
documento.txt,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
dq1dtvwkcs.pdf,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
dr.hulenao.ru,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
ehrkkzb.exe,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
evelynnrank1.duckdns.org,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
exortsoft.top,domain,urlhaus_recent,2025-09-08T12:46:11+01:00,2025-09-08T12:46:11+01:00
